"","Query","Match","HMDB","PubChem","KEGG","SMILES","Comment","CAS.SMPDB","CAS.HMDB"
"1","1-Aminocyclopropanecarboxylic acid","1-Aminocyclopropanecarboxylic acid","HMDB0036458",535,"C01234","NC1(CC1)C(O)=O",1,NA,"22059-21-8"
"2","2-Aminomuconate","2-Aminomuconic acid","HMDB0001241",5280499,"C02220","C(=C\C(=O)O)\C=C(/C(=O)O)\N",1,NA,"4548-99-6"
"3","2-Phosphoglyceric acid","2-Phosphoglyceric acid","HMDB0000362",59,"C00631","C(C(C(=O)O)OP(=O)(O)O)O",1,NA,"2553-59-5"
"4","3-Hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000011",441,"C01089","CC(CC(=O)O)O",1,"625-72-9","625-72-9"
"5","Acetoacetate","Acetoacetic acid","HMDB0000060",96,"C00164","CC(=O)CC(=O)O",1,"541-50-4","541-50-4"
"6","Acetyl coenzyme A","Acetyl-CoA","HMDB0001206",444493,"C00024","CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O",1,"72-89-9","72-89-9"
"7","Adenine","Adenine","HMDB0000034",190,"C00147","C1=NC2=C(N1)C(=NC=N2)N",1,"73-24-5","73-24-5"
"8","Adenosine","Adenosine","HMDB0000050",60961,"C00212","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O",1,"58-61-7","58-61-7"
"9","ADP","ADP","HMDB0001341",6022,"C00008","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O",1,"58-64-0","58-64-0"
"10","alpha-Ketoglutaric acid","Oxoglutaric acid","HMDB0000208",51,"C00026","C(CC(=O)O)C(=O)C(=O)O",1,"328-50-7","328-50-7"
"11","Argininosuccinic acid","Argininosuccinic acid","HMDB0000052",16950,"C03406","C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O",1,"2387-71-5","2387-71-5"
"12","Ascorbate","Ascorbate","HMDB0000044",3372,"C00072",NA,1,"50-81-7","50-81-7"
"13","ATP","Adenosine triphosphate","HMDB0000538",5957,"C00002","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O",1,"56-65-5","56-65-5"
"14","beta-Alanine","Beta-Alanine","HMDB0000056",239,"C00099","C(CN)C(=O)O",1,"107-95-9","107-95-9"
"15","Biotin","Biotin","HMDB0000030",171548,"C00120","C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2",1,"58-85-5","58-85-5"
"16","CDP","CDP","HMDB0001546",6132,"C00112","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O",1,"63-38-7","63-38-7"
"17","cis-Aconitic acid","cis-Aconitic acid","HMDB0000072",643757,"C00417","C(/C(=C/C(=O)O)/C(=O)O)C(=O)O",1,"585-84-2","585-84-2"
"18","Citramalic acid","Citramalic acid","HMDB0000426",441696,"C00815","CC(CC(=O)O)(C(=O)O)O",1,NA,"597-44-4"
"19","CMP","Cytidine monophosphate","HMDB0000095",8117,"C00055","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O",1,"63-37-6","63-37-6"
"20","Creatine","Creatine","HMDB0000064",586,"C00300","CN(CC(=O)O)C(=N)N",1,"57-00-1","57-00-1"
"21","CTP","Cytidine triphosphate","HMDB0000082",6176,"C00063","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O",1,"65-47-4","65-47-4"
"22","Cys-Gly","Cysteinylglycine","HMDB0000078",439498,"C01419","C([C@@H](C(=O)NCC(=O)O)N)S",1,"19246-18-5","19246-18-5"
"23","Cytosine","Cytosine","HMDB0000630",597,"C00380","C1=C(NC(=O)N=C1)N",1,NA,"71-30-7"
"24","D-Sorbitol","Sorbitol","HMDB0000247",5780,"C00794","C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O",1,"50-70-4","50-70-4"
"25","dAMP","Deoxyadenosine monophosphate","HMDB0000905",12599,"C00360","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O",1,"653-63-4","653-63-4"
"26","dATP","Deoxyadenosine triphosphate","HMDB0001532",15993,"C00131","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O",1,"1927-31-7","1927-31-7"
"27","dCTP","dCTP","HMDB0000998",65091,"C00458","C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O",1,"2056-98-6","2056-98-6"
"28","dGDP","dGDP","HMDB0000960",439220,"C00361","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)O)O",1,"3493-09-2","3493-09-2"
